Claim,Updated,org,location,service,gogetta_link (service),gogetta_link,website,category,Age min,Age max (inclusive),All ages,Population served,phones,address,city,zipcode,visible_on_gogetta,Notes,extracted service id,From DB: Age min,From DB: Age max,From DB: Population served
Kiesha,TRUE,Acacia Network,Ramón Vélez Health Care Center,Social Services,https://www.gogetta.nyc/team/location/ad1e09ed-b53b-416c-9519-9359c511f293/services/3c0b4a61-e8fa-4973-b507-a57f91c62391,https://www.gogetta.nyc/find/location/ad1e09ed-b53b-416c-9519-9359c511f293,acacianetwork.org/primary-care,Other service,5,,,,718.734.2539,754 E 151st St,Bronx,10455,V,,3c0b4a61-e8fa-4973-b507-a57f91c62391,,,
Kiesha,TRUE,Acacia Network,Ramón Vélez Health Care Center,Behavioral Health,https://www.gogetta.nyc/team/location/ad1e09ed-b53b-416c-9519-9359c511f293/services/55c36d4b-7cc4-4fca-b89f-a1c4d8669508,https://www.gogetta.nyc/find/location/ad1e09ed-b53b-416c-9519-9359c511f293,acacianetwork.org/primary-care,Health,18,,,,718.734.2539,754 E 151st St,Bronx,10455,V,,55c36d4b-7cc4-4fca-b89f-a1c4d8669508,,,
Kiesha,TRUE,Acacia Network,Ramón Vélez Health Care Center,Primary Care,https://www.gogetta.nyc/team/location/ad1e09ed-b53b-416c-9519-9359c511f293/services/ee152777-c97f-423f-91d9-777e56f75766,https://www.gogetta.nyc/find/location/ad1e09ed-b53b-416c-9519-9359c511f293,acacianetwork.org/primary-care,Health,,,X,,718.734.2539,754 E 151st St,Bronx,10455,V,,ee152777-c97f-423f-91d9-777e56f75766,,,
Kiesha,TRUE,Acacia Network,Park Ave Family Health Center,Patient Services,https://www.gogetta.nyc/team/location/ee60d902-bb2a-4345-9d0d-eb3aedb44f15/services/60b958fe-3a8c-4682-8bf2-c39ede362f82,https://www.gogetta.nyc/find/location/ee60d902-bb2a-4345-9d0d-eb3aedb44f15,acacianetwork.org/primary-care,Health,,,X,,718.734.2539,4196 Park Ave,Bronx,10457,V,,60b958fe-3a8c-4682-8bf2-c39ede362f82,,,
Kiesha,TRUE,Acacia Network,Clay Avenue Family Health Center (FQHC),Patient Services,https://www.gogetta.nyc/team/location/4fd214ad-2a96-4392-a820-949059fbafbb/services/d4332d20-8740-42ae-9878-8e689ae16095,https://www.gogetta.nyc/find/location/4fd214ad-2a96-4392-a820-949059fbafbb,acacianetwork.org/services-guide,Health,18,,,,718.734.2539,1776 Clay Ave,Bronx,10457,V,,d4332d20-8740-42ae-9878-8e689ae16095,,,
Kiesha,TRUE,Acacia Network,El Regreso Foundation Inc,Outpatient Substance Use,https://www.gogetta.nyc/team/location/fe0f768d-295d-4f6e-8766-ffc12e73943d/services/5c9749df-b1d0-4b7f-a72c-f4304a058213,https://www.gogetta.nyc/find/location/fe0f768d-295d-4f6e-8766-ffc12e73943d,acacianetwork.org,Health,14,,,,718.782.6802,141-143 S 3rd St,Brooklyn,11211,V,,5c9749df-b1d0-4b7f-a72c-f4304a058213,,,
Kiesha,TRUE,Acacia Network,El Regreso Foundation Inc,Residential Substance Use Treatment for Women ,https://www.gogetta.nyc/team/location/fe0f768d-295d-4f6e-8766-ffc12e73943d/services/5c9749df-b1d0-4b7f-a72c-f4304a058213,https://www.gogetta.nyc/find/location/fe0f768d-295d-4f6e-8766-ffc12e73943d,acacianetwork.org,Health,18,,,,718.782.6802,141-143 S 3rd St,Brooklyn,11211,V,,5c9749df-b1d0-4b7f-a72c-f4304a058213,,,
Kiesha,TRUE,Acacia Network,Carlos Pagan Recovery Center,Chemical Dependency Outpatient Program,https://www.gogetta.nyc/team/location/818bc265-4b78-4831-a067-b29c998bb59a/services/5f76169d-1734-4780-9b0b-edc1547d4f81,https://www.gogetta.nyc/find/location/818bc265-4b78-4831-a067-b29c998bb59a,https://acacianetwork.org/addiction-services/,Health,13,,,,718.802.1111,370 Hamilton Ave,Brooklyn,11231,V,,5f76169d-1734-4780-9b0b-edc1547d4f81,,,
Kiesha,TRUE,Acacia Network,BASICS Personalized Recovery Oriented Services (PROS),Mental Health Services,https://www.gogetta.nyc/team/location/9a569e7a-a52f-42d5-855c-e52da9fc3528/services/8bb8db64-603a-449b-ac96-72e0f9baae4a,https://www.gogetta.nyc/find/location/9a569e7a-a52f-42d5-855c-e52da9fc3528,acacianetwork.org/addiction-services/,Health,18,,,,646.224.9300,915 Westchester Ave,The Bronx,10459,V,,8bb8db64-603a-449b-ac96-72e0f9baae4a,,,
Kiesha,TRUE,Acacia Network,La Casa de Salud,Social Services,https://www.gogetta.nyc/team/location/ad067b1f-085a-456d-a9c2-4c442d9a0014/services/47879963-a3c0-4773-a6f6-8c3c8879e336,https://www.gogetta.nyc/find/location/ad067b1f-085a-456d-a9c2-4c442d9a0014,lacasadesalud.org,Other service,,,      X,,718.842.1412,966 Prospect Ave,The Bronx,10459,V,,47879963-a3c0-4773-a6f6-8c3c8879e336,,,
Kiesha,TRUE,Acacia Network,La Casa de Salud,Primary Care,https://www.gogetta.nyc/team/location/ad067b1f-085a-456d-a9c2-4c442d9a0014/services/64d97889-6163-4c56-a906-6f325856596a,https://www.gogetta.nyc/find/location/ad067b1f-085a-456d-a9c2-4c442d9a0014,lacasadesalud.org,Health,,,X,,718.842.1412,966 Prospect Ave,The Bronx,10459,V,,64d97889-6163-4c56-a906-6f325856596a,,,
Kiesha,TRUE,Acacia Network,La Casa de Salud,Behavioral Health,https://www.gogetta.nyc/team/location/ad067b1f-085a-456d-a9c2-4c442d9a0014/services/804ef056-0a65-4924-9e7a-0dcd674db96a,https://www.gogetta.nyc/find/location/ad067b1f-085a-456d-a9c2-4c442d9a0014,lacasadesalud.org,Health,5,,,,718.842.1412,966 Prospect Ave,The Bronx,10459,V,,804ef056-0a65-4924-9e7a-0dcd674db96a,,,
Kiesha,TRUE,Ackerman Institute for the Family,,Family Counseling,https://www.gogetta.nyc/team/location/35dbdb4e-ad52-4c52-aa57-047048e30ceb/services/6de1465c-5840-4982-bb50-d238789e2fbc,https://www.gogetta.nyc/find/location/35dbdb4e-ad52-4c52-aa57-047048e30ceb,ackerman.org/clinical-services/start-here,Health,5,,,,212.879.4900,936 Broadway,New York,10010,V,,6de1465c-5840-4982-bb50-d238789e2fbc,,,
,,Act of Faith Ministries,,Food Pantry,https://www.gogetta.nyc/team/location/185a65b9-3366-495f-8872-0efbc5dc641e/services/afa0e35f-50d6-4683-989a-c5e6d5bbf805,https://www.gogetta.nyc/find/location/185a65b9-3366-495f-8872-0efbc5dc641e,https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=3915,Food Pantry,,,,,718-570-8277,141 Manhattan Avenue,Brooklyn,11206,,,afa0e35f-50d6-4683-989a-c5e6d5bbf805,,,
doobneek,TRUE,Adhikaar,,Classes in Nepali Language,https://www.gogetta.nyc/team/location/e264284e-35bf-4894-8a8c-140e5cba1ce2/services/dd0de86b-0c6d-4bf2-b473-e4dd7443ee34,https://www.gogetta.nyc/find/location/e264284e-35bf-4894-8a8c-140e5cba1ce2,adhikaar.org,Other service,18,,,,718.937.1117,71-07 Woodside Ave,Queens,11377,V,,dd0de86b-0c6d-4bf2-b473-e4dd7443ee34,,,
,,Administration for Children's Services (ACS),"Workforce Institute, Bronx Training Location",Food Pantry,https://www.gogetta.nyc/team/location/69120aad-9d31-456b-8d01-a75d34ad99e9/services/6405b740-dd9b-4585-9b93-4c3bf414e848,https://www.gogetta.nyc/find/location/69120aad-9d31-456b-8d01-a75d34ad99e9,www1.nyc.gov/site/acs/about/inside/wi/schedule.page,Food Pantry,,,,,(718) 933-1212,"2501 Grand Concourse, 4th Floor",The Bronx,10468,,,6405b740-dd9b-4585-9b93-4c3bf414e848,,,
,,Admirable Church,,Food Pantry,https://www.gogetta.nyc/team/location/bbdabc72-216e-4567-9f18-b2ca626dd806/services/9cc9041c-8779-41df-9a7c-b394c5ac41a6,https://www.gogetta.nyc/find/location/bbdabc72-216e-4567-9f18-b2ca626dd806,https://access.nyc.gov/location/admirable-church-inc/,Food Pantry,,,,,"(347) 779-7192, (718) 649-7531",1910 Flatbush Avenue,BROOKLYN,11210,,,9cc9041c-8779-41df-9a7c-b394c5ac41a6,,,
doobneek,TRUE,Adult Career and Continuing Education Services (ACCES-VR),Bronx District Office,Disability Advocacy,https://www.gogetta.nyc/team/location/16b235a3-ad3d-4f6d-96df-28d1e49faab3/services/1c6c8c1f-c51d-405a-8e37-8b7d07780079,https://www.gogetta.nyc/find/location/16b235a3-ad3d-4f6d-96df-28d1e49faab3,acces.nysed.gov/vr/bronx-district-office,Other service,18,,,,718.931.3500,1215 Zerega Ave,Bronx,10457,V,,1c6c8c1f-c51d-405a-8e37-8b7d07780079,,,
doobneek,TRUE,Adult Career and Continuing Education Services (ACCES-VR),Brooklyn District Office,Disability Advocacy,https://www.gogetta.nyc/team/location/f52d6067-9bdb-4b72-be3a-b7358b799424/services/d47dd03d-4e1a-4c5e-be8e-ebd6c1a7684d,https://www.gogetta.nyc/find/location/f52d6067-9bdb-4b72-be3a-b7358b799424,acces.nysed.gov/vr/brooklyn-district-office,Other service,18,,,,718.722.6700,55 Hanson Place 2nd Floor,Brooklyn,11217,V,,d47dd03d-4e1a-4c5e-be8e-ebd6c1a7684d,,,
doobneek,TRUE,Adult Career and Continuing Education Services (ACCES-VR),Harlem Independent Living Center (HILC),Advocacy,https://www.gogetta.nyc/team/location/38867464-ba7f-4a13-948d-986f588d4a04/services/aa785207-f42d-4e5f-87f6-bb46cd41e42b,https://www.gogetta.nyc/find/location/38867464-ba7f-4a13-948d-986f588d4a04,hilcnyc.org,Other service,18,,,,212.222.7122,"289 St Nicholas Ave, #21",New York,10027,V,,aa785207-f42d-4e5f-87f6-bb46cd41e42b,,,
doobneek,TRUE,Adult Career and Continuing Education Services (ACCES-VR),Manhattan District Office,Disability Advocacy,https://www.gogetta.nyc/team/location/43c6d99f-4280-4010-85cb-8d7339d045dd/services/ef270870-54b7-4e92-a14e-d34412417aa9,https://www.gogetta.nyc/find/location/43c6d99f-4280-4010-85cb-8d7339d045dd,acces.nysed.gov/vr/manhattan-district-office,Other service,18,,,,"212.630.2300, 212.630.2302","116 West 32nd Street, 5th Floor",New York,10001,V,,ef270870-54b7-4e92-a14e-d34412417aa9,,,
doobneek,TRUE,Adult Career and Continuing Education Services (ACCES-VR),Queens District Office,Disability Advocacy,https://www.gogetta.nyc/team/location/fec41bea-3d5a-4048-aeb2-dea6bb699efe/services/28caf77c-de51-41ea-b70f-aa074cd84c1c,https://www.gogetta.nyc/find/location/fec41bea-3d5a-4048-aeb2-dea6bb699efe,acces.nysed.gov/vr/queens-district-office,Other service,18,,,,347.510.3100,11-15 47th Ave,Queens,11101,V,,28caf77c-de51-41ea-b70f-aa074cd84c1c,,,
doobneek,TRUE,Adult Career and Continuing Education Services (ACCES-VR),Staten Island Satellite Office,Client Services,https://www.gogetta.nyc/team/location/86d780d0-941a-44d0-9a70-77d57e8ec921/services/9f16246e-678a-4785-8fef-0f98d3ff7427,https://www.gogetta.nyc/find/location/86d780d0-941a-44d0-9a70-77d57e8ec921,acces.nysed.gov/vr/staten-island-satellite-office,Other service,18,,,,718.816.4800,2071 Clove Road,Staten Island,10304,V,,9f16246e-678a-4785-8fef-0f98d3ff7427,,,
doobneek,TRUE,Advent Lutheran Church,Food Provider,Community Lunch,https://www.gogetta.nyc/team/location/cfdf24c0-d87a-4e1b-9166-3c7e074506a0/services/4a9dd6ad-5595-49ab-b6c4-099eecc15e35,https://www.gogetta.nyc/find/location/cfdf24c0-d87a-4e1b-9166-3c7e074506a0,adventnyc.org/food-ministry,Brown Bag,16,,,,(212) 665-2504,2504 BROADWAY,NEW YORK,10025,V,,4a9dd6ad-5595-49ab-b6c4-099eecc15e35,,,
doobneek,TRUE,Advent Lutheran Church,Food Provider,Food Pantry,https://www.gogetta.nyc/team/location/cfdf24c0-d87a-4e1b-9166-3c7e074506a0/services/9b6c1553-d845-4c4a-b658-9075ce193169,https://www.gogetta.nyc/find/location/cfdf24c0-d87a-4e1b-9166-3c7e074506a0,adventnyc.org/food-ministry,Soup Kitchen,16,,,,(212) 665-2504,2504 BROADWAY,NEW YORK,10025,V,,9b6c1553-d845-4c4a-b658-9075ce193169,,,
,,Adventist Community Services,Brooklyn Temple of Seventh-Day Adventists on Lewis Ave,Clothing Closet,https://www.gogetta.nyc/team/location/d6a41e53-2468-49cc-a667-3a5b8f505b2b/services/2c75af1c-796f-4821-93bf-38ab8c64adf4,https://www.gogetta.nyc/find/location/d6a41e53-2468-49cc-a667-3a5b8f505b2b,brooklyntemple.org/community-service.html,Other service,,,,,"646.600.4604, 718.452.2855",3-9 Lewis Avenue,Brooklyn,11206,,,2c75af1c-796f-4821-93bf-38ab8c64adf4,,,
,,Adventist Community Services,Brooklyn Temple of Seventh-Day Adventists on Lewis Ave,Soup kitchen,https://www.gogetta.nyc/team/location/d6a41e53-2468-49cc-a667-3a5b8f505b2b/services/82fe66a9-6b62-4812-bbfc-b70baa8f369c,https://www.gogetta.nyc/find/location/d6a41e53-2468-49cc-a667-3a5b8f505b2b,brooklyntemple.org/community-service.html,Soup Kitchen,,,,,"646.600.4604, 718.452.2855",3-9 Lewis Avenue,Brooklyn,11206,,,82fe66a9-6b62-4812-bbfc-b70baa8f369c,,,
,,Advocates for Children of New York (AFC),,Resources for Court-Involved & Disconnected Youth,https://www.gogetta.nyc/team/location/bfedcef9-ece2-4d24-9b92-a33bb17414a8/services/3a904e2e-b7e2-45da-963b-7a4588aca2a0,https://www.gogetta.nyc/find/location/bfedcef9-ece2-4d24-9b92-a33bb17414a8,advocatesforchildren.org,Other service,,,,,212.947.9779,151 West 30th Street 5th Floor,New York,10001,,,3a904e2e-b7e2-45da-963b-7a4588aca2a0,,,
doobneek,TRUE,African Communities Together,Oberia Dempsey Multi Services Center,Community Services,https://www.gogetta.nyc/team/location/2e78b89b-8ab9-4e7a-baf4-f957fe92c7a1/services/65da27d3-4472-41f5-b451-8eedf6706d73,https://www.gogetta.nyc/find/location/2e78b89b-8ab9-4e7a-baf4-f957fe92c7a1,africans.us,Other service,,,x,,347.746.2281,"127 W 127th St, 221 Suite",New York,10027,V,,65da27d3-4472-41f5-b451-8eedf6706d73,,,
doobneek,TRUE,"African Refuge, Inc.",Social Services Drop-in Center,SYEP,https://www.gogetta.nyc/team/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007/services/1a2a9dc0-6404-4b54-9a13-22bb642d62eb,https://www.gogetta.nyc/find/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007,,Other service,16,24,,"Youth, Young Adults",718.701.4055,185 Park Hill Ave,Staten Island,10304,V,,1a2a9dc0-6404-4b54-9a13-22bb642d62eb,,,
doobneek,TRUE,"African Refuge, Inc.",Social Services Drop-in Center,Afterschool,https://www.gogetta.nyc/team/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007/services/2abb0c0b-c9d0-4de4-9e43-d7da02875781,https://www.gogetta.nyc/find/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007,,Clothing Pantry,5,11,,,718.701.4055,185 Park Hill Ave,Staten Island,10304,V,,2abb0c0b-c9d0-4de4-9e43-d7da02875781,,,
doobneek,TRUE,"African Refuge, Inc.",Social Services Drop-in Center,Food Pantry,https://www.gogetta.nyc/team/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007/services/3506ad0e-0adf-4923-b89b-bac3b281d655,https://www.gogetta.nyc/find/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007,,Food,,,x,,718.701.4055,185 Park Hill Ave,Staten Island,10304,V,,3506ad0e-0adf-4923-b89b-bac3b281d655,,,
doobneek,TRUE,"African Refuge, Inc.",Social Services Drop-in Center,Immigration Referrals,https://www.gogetta.nyc/team/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007/services/5eac127c-20cb-475d-b86e-ef35003d75de,https://www.gogetta.nyc/find/location/bb12417a-aae4-4c33-a25d-83f4dc2f4007,,Other service,18,,,,718.701.4055,185 Park Hill Ave,Staten Island,10304,V,,5eac127c-20cb-475d-b86e-ef35003d75de,,,
doobneek,TRUE,African Service Committee,,Housing,https://www.gogetta.nyc/team/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11/services/225492d9-aa20-4069-b5e5-75a2d00f0b5a,https://www.gogetta.nyc/find/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11,africanservices.org,Case Workers,,,,,212.222.3882,429 W 127th St,NEW YORK,10027,V,,225492d9-aa20-4069-b5e5-75a2d00f0b5a,,,
doobneek,TRUE,African Service Committee,,Health Services,https://www.gogetta.nyc/team/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11/services/5b977015-bd2a-4b85-9c7c-f83fbc75b615,https://www.gogetta.nyc/find/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11,africanservices.org,Health,16,,,,212.222.3882,429 W 127th St,NEW YORK,10027,V,,5b977015-bd2a-4b85-9c7c-f83fbc75b615,,,
doobneek,TRUE,African Service Committee,,Food Pantry,https://www.gogetta.nyc/team/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11/services/7ea7baf1-e5bf-4b9a-a1af-1706f00072b2,https://www.gogetta.nyc/find/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11,africanservices.org,Food Pantry,16,,,,212.222.3882,429 W 127th St,NEW YORK,10027,V,,7ea7baf1-e5bf-4b9a-a1af-1706f00072b2,,,
doobneek,TRUE,African Service Committee,,Legal,https://www.gogetta.nyc/team/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11/services/8a1f8e88-baa9-42d4-981a-414674fe3c0e,https://www.gogetta.nyc/find/location/4eb7da4e-0fd0-4518-8d85-4dd982dfea11,africanservices.org,Advocates / Legal Aid,18,,,,212.222.3882,429 W 127th St,NEW YORK,10027,V,,8a1f8e88-baa9-42d4-981a-414674fe3c0e,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Overdose Treatment,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/1796fc64-8ff3-479c-bc9f-2b00f45a3ee1,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Other service,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,1796fc64-8ff3-479c-bc9f-2b00f45a3ee1,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Health Education and Counseling,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/1c70354d-9649-47b6-9a03-6b75dc757fef,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Health,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,1c70354d-9649-47b6-9a03-6b75dc757fef,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Syringe Exchange Program & Expanded Syringe Access Program,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/609a3ae7-5da4-4e9a-91dc-d6e724dde827,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Other service,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,609a3ae7-5da4-4e9a-91dc-d6e724dde827,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Transitional Housing Program,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/810a3690-729f-456b-bbc2-02981864f6e8,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Shelter,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,810a3690-729f-456b-bbc2-02981864f6e8,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Medical Transportation Services,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/865455f3-cfd5-4bef-b038-5f9a1e681e66,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Health,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,865455f3-cfd5-4bef-b038-5f9a1e681e66,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Immigration Services,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/a02518ab-6e25-485a-922d-169e2751f492,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Other service,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,a02518ab-6e25-485a-922d-169e2751f492,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Mental Health Services,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/a8c159ce-2f48-4fed-aca5-45b3db83c668,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Health,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,a8c159ce-2f48-4fed-aca5-45b3db83c668,,,
doobneek,TRUE,After Hours Project,1204 Broadway,AHP,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/be3dde46-87b5-4bfa-b566-82fcf124ae47,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Health,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,be3dde46-87b5-4bfa-b566-82fcf124ae47,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Treatment Readiness Services,https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/c8369479-a1c4-45e6-bb05-0933ce1557be,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Other service,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,c8369479-a1c4-45e6-bb05-0933ce1557be,,,
doobneek,TRUE,After Hours Project,1204 Broadway,Case Management Services (HIV/AIDS),https://www.gogetta.nyc/team/location/2daa4316-8eac-4743-b935-fc0af28ead49/services/dafebcbe-3c7e-4570-a574-7b9df8950d1a,https://www.gogetta.nyc/find/location/2daa4316-8eac-4743-b935-fc0af28ead49,afterhoursproject.org,Other service,13,,,,718.249.0755,1204 Broadway,Brooklyn,11221,V,,dafebcbe-3c7e-4570-a574-7b9df8950d1a,,,
doobneek,TRUE,After Hours Project,935 Broadway,Harm Reduction,https://www.gogetta.nyc/team/location/a6a042e1-4954-455f-9576-b8b344034bf4/services/30bfd1b6-4afd-416b-ae05-b0ed9768040e,https://www.gogetta.nyc/find/location/a6a042e1-4954-455f-9576-b8b344034bf4,afterhoursproject.org,Health,13,,,,347.663.7615,935 Broadway,Brooklyn,11206,V,,30bfd1b6-4afd-416b-ae05-b0ed9768040e,,,
